               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.033354,           0.0095621,            0.014904,             0.83964,             0.96342,             0.97064,              0.6771,            0.024436,           0.0043513,           0.0065158,           0.0076042,           0.0076042,           0.0076042
                 123,            0.039802,           0.0099813,            0.017137,             0.96902,             0.90363,              0.9683,             0.50505,            0.022136,           0.0041093,           0.0080511,           0.0075844,           0.0075844,           0.0075844
                 124,            0.035704,           0.0096064,            0.018424,             0.96902,             0.90363,              0.9683,             0.50505,            0.022136,           0.0041093,           0.0080511,           0.0075646,           0.0075646,           0.0075646
                 125,            0.030271,            0.011877,             0.01426,             0.90681,             0.88235,             0.91814,             0.56733,            0.015701,           0.0040075,            0.010564,           0.0075448,           0.0075448,           0.0075448
                 126,            0.031111,           0.0096516,            0.017681,             0.72033,             0.77238,             0.83279,             0.51595,            0.025081,           0.0042749,            0.013601,            0.007525,            0.007525,            0.007525
                 127,            0.032573,           0.0088864,            0.013426,             0.87307,             0.79412,             0.87936,             0.53976,            0.024885,           0.0043765,            0.015604,           0.0075052,           0.0075052,           0.0075052
                 128,            0.031627,           0.0091142,            0.016861,             0.87307,             0.79412,             0.87936,             0.53976,            0.024885,           0.0043765,            0.015604,           0.0074854,           0.0074854,           0.0074854
                 129,            0.031875,             0.01006,            0.018635,             0.64321,             0.79412,             0.79865,             0.41232,            0.024726,           0.0043434,             0.01534,           0.0074656,           0.0074656,           0.0074656
                 130,            0.030075,           0.0097139,            0.017486,             0.94855,             0.78839,             0.90098,             0.48651,            0.021608,           0.0041515,            0.011041,           0.0074458,           0.0074458,           0.0074458
                 131,            0.031735,            0.010689,            0.025818,              0.7483,             0.99844,             0.92319,             0.60938,            0.018284,           0.0042271,           0.0041001,            0.007426,            0.007426,            0.007426
                 132,             0.02866,           0.0098979,            0.018045,              0.7483,             0.99844,             0.92319,             0.60938,            0.018284,           0.0042271,           0.0041001,           0.0074062,           0.0074062,           0.0074062
                 133,            0.027338,            0.010082,             0.01607,             0.95097,             0.95168,               0.995,             0.73997,            0.014485,            0.004185,           0.0071047,           0.0073864,           0.0073864,           0.0073864
                 134,            0.027538,            0.010116,            0.013373,             0.70781,             0.95463,             0.89779,             0.56734,            0.020667,           0.0047284,           0.0099188,           0.0073666,           0.0073666,           0.0073666
                 135,            0.031015,           0.0097124,            0.018865,              0.8874,             0.93478,             0.94647,             0.59408,            0.021641,           0.0044374,            0.010076,           0.0073468,           0.0073468,           0.0073468
                 136,            0.033538,            0.010336,            0.012432,              0.8874,             0.93478,             0.94647,             0.59408,            0.021641,           0.0044374,            0.010076,            0.007327,            0.007327,            0.007327
                 137,            0.034598,            0.009556,            0.017479,             0.89185,             0.93478,             0.93381,             0.63382,            0.018454,           0.0040803,             0.01052,           0.0073072,           0.0073072,           0.0073072
                 138,            0.032185,            0.010466,            0.012779,             0.80239,              0.8913,             0.93312,             0.50486,            0.025703,           0.0043682,            0.011568,           0.0072874,           0.0072874,           0.0072874
                 139,            0.035166,            0.010611,             0.01484,             0.90864,             0.93628,             0.98133,             0.65719,            0.017204,           0.0038171,           0.0098653,           0.0072676,           0.0072676,           0.0072676
                 140,            0.032116,            0.010744,            0.016421,             0.90864,             0.93628,             0.98133,             0.65719,            0.017204,           0.0038171,           0.0098653,           0.0072478,           0.0072478,           0.0072478
                 141,            0.027668,           0.0097543,            0.011455,             0.92004,             0.93661,             0.97571,             0.73401,            0.014221,           0.0035954,           0.0096416,            0.007228,            0.007228,            0.007228
                 142,             0.03165,            0.009112,            0.017928,             0.75551,             0.90059,             0.92259,             0.56723,            0.026328,           0.0041466,            0.009725,           0.0072082,           0.0072082,           0.0072082
                 143,            0.034302,            0.010728,            0.016449,             0.91922,             0.93478,             0.96564,             0.70947,            0.014076,           0.0037504,           0.0095273,           0.0071884,           0.0071884,           0.0071884
                 144,            0.029701,            0.010355,            0.018039,             0.91922,             0.93478,             0.96564,             0.70947,            0.014076,           0.0037504,           0.0095273,           0.0071686,           0.0071686,           0.0071686
                 145,            0.027251,            0.010716,            0.012589,              0.9194,             0.93478,             0.96049,             0.78777,            0.013174,           0.0038057,           0.0095808,           0.0071488,           0.0071488,           0.0071488
                 146,            0.026093,           0.0079488,            0.012961,             0.91714,             0.91032,             0.95424,             0.57952,            0.023345,           0.0040048,           0.0087069,            0.007129,            0.007129,            0.007129
                 147,            0.032393,           0.0098089,            0.013943,             0.92622,             0.93478,             0.97439,             0.58873,            0.024341,           0.0039811,           0.0080722,           0.0071092,           0.0071092,           0.0071092
                 148,            0.038002,            0.010048,             0.01346,             0.92622,             0.93478,             0.97439,             0.58873,            0.024341,           0.0039811,           0.0080722,           0.0070894,           0.0070894,           0.0070894
                 149,            0.029747,            0.010624,             0.01435,             0.94095,             0.95652,             0.98404,             0.66398,            0.020327,           0.0039189,           0.0069089,           0.0070696,           0.0070696,           0.0070696
                 150,            0.029807,           0.0096582,            0.012621,             0.98885,             0.95148,             0.98509,             0.59963,            0.019939,           0.0039199,            0.005873,           0.0070498,           0.0070498,           0.0070498
                 151,            0.034975,           0.0098643,            0.016168,             0.96937,             0.99694,             0.99333,             0.76376,            0.015796,           0.0040495,           0.0055747,             0.00703,             0.00703,             0.00703
                 152,            0.028319,            0.011208,            0.012992,             0.96937,             0.99694,             0.99333,             0.76376,            0.015796,           0.0040495,           0.0055747,           0.0070102,           0.0070102,           0.0070102
